IDATE,ACSTATE,TFAT,TINJ,TOTAL_COST_CURRENT,LOSS,RECOV,CAUSE,ACCOUNTY,LAT,LONG
1987,California,0.0,0.0,61707.0600632245,400.0,350.0,OTHER,KERN,35.37329,-119.01871
1987,California,0.0,0.0,1336986.30136986,2500.0,2000.0,CORROSION,KERN,35.37329,-119.01871
1987,California,0.0,0.0,0.0,60.0,50.0,CORROSION,KERN,35.37329,-119.01871
1987,California,0.0,0.0,0.0,60.0,50.0,CORROSION,KERN,35.37329,-119.01871
1987,California,0.0,0.0,102.845100105374,450.0,450.0,CORROSION,KERN,35.37329,-119.01871
1988,California,0.0,0.0,44831.5753657707,700.0,430.0,OTHER OUTSIDE FORCE DAMAGE,KERN,35.37329,-119.01871
1988,California,0.0,0.0,0.0,2.0,0.0,CORROSION,KERN,35.37329,-119.01871
1988,California,0.0,0.0,522855.719632528,3384.0,1750.0,OTHER OUTSIDE FORCE DAMAGE,KERN,35.37329,-119.01871
1988,California,0.0,0.0,99625.7230350459,3000.0,2600.0,EQUIPMENT FAILURE,KERN,35.37329,-119.01871
1988,California,0.0,0.0,14943.8584552569,150.0,135.0,EQUIPMENT FAILURE,KERN,35.37329,-119.01871
1989,California,0.0,0.0,9574.88554610857,150.0,140.0,CORROSION,KERN,35.37329,-119.01871
1990,California,0.0,0.0,9236.59305993691,500.0,450.0,OTHER,KERN,35.37329,-119.01871
1990,California,0.0,0.0,27709.7791798107,250.0,250.0,CORROSION,KERN,35.37329,-119.01871
1991,California,0.0,0.0,13378.0079195857,103.0,3.0,CORROSION,KERN,35.37329,-119.01871
1991,California,0.0,0.0,4459.33597319525,6.0,2.0,CORROSION,KERN,35.37329,-119.01871
1992,California,0.0,0.0,313248.142644874,250.0,212.0,OTHER,KERN,35.37329,-119.01871
1992,California,0.0,0.0,43506.6864784547,4.0,4.0,OTHER OUTSIDE FORCE DAMAGE,KERN,35.37329,-119.01871
1993,California,0.0,0.0,5101045.29616725,6200.0,3312.0,MATERIAL FAILURE OF PIPE OR WELD,KERN,35.37329,-119.01871
1993,California,0.0,0.0,2550.52264808362,116.0,96.0,OTHER OUTSIDE FORCE DAMAGE,KERN,35.37329,-119.01871
1994,California,0.0,0.0,16641.0912190963,150.0,135.0,OTHER OUTSIDE FORCE DAMAGE,KERN,35.37329,-119.01871
1994,California,0.0,0.0,0.0,3.0,3.0,CORROSION,KERN,35.37329,-119.01871
1994,California,0.0,0.0,91526.0017050298,137.0,50.0,CORROSION,KERN,35.37329,-119.01871
1994,California,0.0,0.0,12480.8184143222,110.0,100.0,OTHER OUTSIDE FORCE DAMAGE,KERN,35.37329,-119.01871
1994,California,0.0,0.0,8320.54560954817,550.0,515.0,OTHER,KERN,35.37329,-119.01871
1995,California,0.0,0.0,6517.52921535893,35.0,35.0,EQUIPMENT FAILURE,KERN,35.37329,-119.01871
1995,California,0.0,0.0,977.62938230384,15.0,10.0,CORROSION,KERN,35.37329,-119.01871
1995,California,0.0,0.0,122203.67278798,250.0,0.0,OTHER,KERN,35.37329,-119.01871
1995,California,0.0,0.0,12383.305509182,170.0,165.0,OTHER,KERN,35.37329,-119.01871
1995,California,0.0,0.0,0.0,220.0,210.0,INCORRECT OPERATION BY OPERATOR PERSONNEL,KERN,35.37329,-119.01871
1996,California,0.0,0.0,239901.679639492,2400.0,1380.0,OTHER,KERN,35.37329,-119.01871
1996,California,0.0,0.0,7996.72265464973,1380.0,80.0,OTHER OUTSIDE FORCE DAMAGE,KERN,35.37329,-119.01871
1996,California,0.0,0.0,87963.9492011471,24.0,10.0,CORROSION,KERN,35.37329,-119.01871
1996,California,0.0,0.0,39983.6132732487,86.0,75.0,OTHER,KERN,35.37329,-119.01871
1996,California,0.0,0.0,0.0,1245.0,1045.0,CORROSION,KERN,35.37329,-119.01871
1997,California,0.0,0.0,15714.4773916544,580.0,80.0,EQUIPMENT FAILURE,KERN,35.37329,-119.01871
1997,California,0.0,0.0,11471.5684959077,50.0,0.0,CORROSION,KERN,35.37329,-119.01871
1997,California,0.0,0.0,418005.098618006,632.0,270.0,OTHER OUTSIDE FORCE DAMAGE,KERN,35.37329,-119.01871
1997,California,0.0,0.0,0.0,80.0,78.0,OTHER,KERN,35.37329,-119.01871
1997,California,0.0,0.0,21214.5444787334,135.0,85.0,MATERIAL FAILURE OF PIPE OR WELD,KERN,35.37329,-119.01871
1998,California,0.0,0.0,3104.16114497747,55.0,50.0,CORROSION,KERN,35.37329,-119.01871
1998,California,0.0,0.0,77604.0286244368,1959.0,400.0,OTHER OUTSIDE FORCE DAMAGE,KERN,35.37329,-119.01871
1998,California,0.0,0.0,62083.2228995494,142.0,142.0,CORROSION,KERN,35.37329,-119.01871
1999,California,0.0,0.0,766191.286144184,15.0,0.0,CORROSION,KERN,35.37329,-119.01871
1999,California,0.0,0.0,383095.643072092,480.0,478.0,OTHER,KERN,35.37329,-119.01871
1999,California,0.0,0.0,15323.8257228837,670.0,650.0,OTHER OUTSIDE FORCE DAMAGE,KERN,35.37329,-119.01871
1999,California,0.0,0.0,22985.7385843255,370.0,300.0,OTHER,KERN,35.37329,-119.01871
2001,California,0.0,0.0,88016.0320641283,100.0,70.0,INCORRECT OPERATION BY OPERATOR PERSONNEL,KERN,35.37329,-119.01871
2001,California,0.0,0.0,58677.3547094188,100.0,60.0,OTHER,KERN,35.37329,-119.01871
1986,Illinois,0.0,0.0,8412.28227688993,2220.0,2220.0,INCORRECT OPERATION BY OPERATOR PERSONNEL,WILL,41.52519,-88.0834
1986,Illinois,0.0,0.0,315460.585383372,429.0,379.0,CORROSION,WILL,41.52519,-88.0834
1987,Illinois,0.0,0.0,4730.87460484721,159.0,90.0,CORROSION,WILL,41.52519,-88.0834
1988,Illinois,0.0,0.0,49812.861517523,100.0,75.0,OTHER,WILL,41.52519,-88.0834
1991,Illinois,0.0,0.0,4459.33597319525,100.0,99.0,EQUIPMENT FAILURE,WILL,41.52519,-88.0834
1992,Illinois,0.0,0.0,58786.234769688,200.0,0.0,CORROSION,WILL,41.52519,-88.0834
1993,Illinois,0.0,0.0,85017.4216027875,20.0,15.0,OTHER,WILL,41.52519,-88.0834
1994,Illinois,0.0,0.0,91526.0017050298,200.0,195.0,OTHER,WILL,41.52519,-88.0834
1995,Illinois,0.0,0.0,102651.085141903,14.0,0.0,OTHER,WILL,41.52519,-88.0834
1995,Illinois,0.0,0.0,97762.938230384,15.0,0.0,OTHER,WILL,41.52519,-88.0834
1995,Illinois,0.0,0.0,81469.1151919866,10.0,9.0,MATERIAL FAILURE OF PIPE OR WELD,WILL,41.52519,-88.0834
1997,Illinois,0.0,0.0,785.723869582718,2.0,0.0,INCORRECT OPERATION BY OPERATOR PERSONNEL,WILL,41.52519,-88.0834
1998,Illinois,0.0,0.0,77604.0286244368,50.0,48.0,OTHER,WILL,41.52519,-88.0834
1999,Illinois,0.0,0.0,766191.286144184,2693.0,1362.0,OTHER OUTSIDE FORCE DAMAGE,WILL,41.52519,-88.0834
2001,Illinois,0.0,0.0,51342.6853707415,75.0,75.0,MATERIAL FAILURE OF PIPE OR WELD,WILL,41.52519,-88.0834
1986,Indiana,0.0,0.0,3154.60585383372,400.0,65.0,CORROSION,SPENCER,38.03251,-85.32785
1986,Indiana,0.0,0.0,1051.53528461124,130.0,50.0,CORROSION,SPENCER,38.03251,-85.32785
1986,Texas,0.0,0.0,0.0,1250.0,0.0,OTHER OUTSIDE FORCE DAMAGE,GAINES,32.74073,-102.63518
1986,Texas,0.0,2.0,52576.764230562,5.0,0.0,OTHER,GAINES,32.74073,-102.63518
1987,Texas,0.0,0.0,6170.70600632245,150.0,25.0,OTHER OUTSIDE FORCE DAMAGE,GAINES,32.74073,-102.63518
1988,Texas,0.0,0.0,56083.3045253488,2610.0,0.0,OTHER OUTSIDE FORCE DAMAGE,GAINES,32.74073,-102.63518
1989,Texas,0.0,0.0,5505.55918901243,85.0,60.0,OTHER OUTSIDE FORCE DAMAGE,GAINES,32.74073,-102.63518
1990,Texas,0.0,0.0,25862.4605678234,1107.0,625.0,MATERIAL FAILURE OF PIPE OR WELD,GAINES,32.74073,-102.63518
1991,Texas,0.0,0.0,26756.0158391715,740.0,40.0,EQUIPMENT FAILURE,GAINES,32.74073,-102.63518
1993,Texas,0.0,1.0,2628.73867595819,157.0,0.0,OTHER OUTSIDE FORCE DAMAGE,GAINES,32.74073,-102.63518
1993,Texas,0.0,0.0,9152.9756097561,397.0,0.0,OTHER OUTSIDE FORCE DAMAGE,GAINES,32.74073,-102.63518
1995,Texas,0.0,0.0,32587.6460767947,3000.0,2250.0,MATERIAL FAILURE OF PIPE OR WELD,GAINES,32.74073,-102.63518
1995,Texas,0.0,0.0,54680.4407345576,1473.0,0.0,OTHER OUTSIDE FORCE DAMAGE,GAINES,32.74073,-102.63518
1995,Texas,0.0,0.0,24440.734557596,278.0,210.0,OTHER OUTSIDE FORCE DAMAGE,GAINES,32.74073,-102.63518
1996,Texas,0.0,0.0,40111.5608357231,2078.0,0.0,OTHER OUTSIDE FORCE DAMAGE,GAINES,32.74073,-102.63518
1997,Texas,0.0,0.0,7857.23869582719,200.0,175.0,CORROSION,GAINES,32.74073,-102.63518
1998,Texas,0.0,0.0,15520.8057248874,150.0,100.0,CORROSION,GAINES,32.74073,-102.63518
2001,Texas,0.0,0.0,14669.3386773547,65.0,60.0,CORROSION,GAINES,32.74073,-102.63518
1987,Illinois,0.0,0.0,0.0,550.0,535.0,OTHER,LIVINGSTON,-17.84194,25.85425
1992,Louisiana,0.0,0.0,87013.3729569094,60.0,58.0,OTHER OUTSIDE FORCE DAMAGE,LIVINGSTON,-17.84194,25.85425
1993,Illinois,0.0,0.0,85017.4216027875,1000.0,990.0,EQUIPMENT FAILURE,LIVINGSTON,-17.84194,25.85425
1993,Illinois,0.0,0.0,0.0,100.0,95.0,EQUIPMENT FAILURE,LIVINGSTON,-17.84194,25.85425
1986,Indiana,0.0,0.0,21030.7056922248,75.0,50.0,CORROSION,BOONE,38.95171,-92.33407
1989,Missouri,0.0,0.0,10340.8763897973,169.0,4.0,OTHER OUTSIDE FORCE DAMAGE,BOONE,38.95171,-92.33407
1986,Ohio,0.0,0.0,1207627.2853295,10107.0,4609.0,OTHER OUTSIDE FORCE DAMAGE,HURON,43.91007,-82.85551
1986,Utah,0.0,0.0,0.0,350.0,350.0,MATERIAL FAILURE OF PIPE OR WELD,DUCHESNE,40.29751,-110.42476
1986,Utah,0.0,0.0,1787.60998383911,250.0,225.0,INCORRECT OPERATION BY OPERATOR PERSONNEL,DUCHESNE,40.29751,-110.42476
1986,Utah,0.0,0.0,199791.704076136,70.0,30.0,OTHER,DUCHESNE,40.29751,-110.42476
1986,Texas,0.0,0.0,525.76764230562,1550.0,1500.0,CORROSION,WINKLER,31.78255,-103.1951
1988,Texas,0.0,0.0,298.877169105138,110.0,95.0,OTHER,WINKLER,31.78255,-103.1951
1988,Texas,0.0,0.0,7577.53249404559,690.0,550.0,CORROSION,WINKLER,31.78255,-103.1951
1989,Texas,0.0,0.0,574493.132766514,23534.0,5849.0,MATERIAL FAILURE OF PIPE OR WELD,WINKLER,31.78255,-103.1951
1989,Texas,0.0,0.0,1914.97710922171,270.0,240.0,OTHER OUTSIDE FORCE DAMAGE,WINKLER,31.78255,-103.1951
1990,Texas,0.0,0.0,0.0,250.0,200.0,INCORRECT OPERATION BY OPERATOR PERSONNEL,WINKLER,31.78255,-103.1951
1991,Texas,0.0,0.0,0.0,250.0,230.0,EQUIPMENT FAILURE,WINKLER,31.78255,-103.1951
1991,Texas,0.0,0.0,32999.0862016448,670.0,519.0,CORROSION,WINKLER,31.78255,-103.1951
1992,Texas,0.0,0.0,7831.20356612184,4370.0,4350.0,EQUIPMENT FAILURE,WINKLER,31.78255,-103.1951
1995,Texas,0.0,0.0,40734.5575959933,62.0,0.0,CORROSION,WINKLER,31.78255,-103.1951
1996,Texas,0.0,0.0,343859.074149939,100.0,0.0,OTHER OUTSIDE FORCE DAMAGE,WINKLER,31.78255,-103.1951
1998,Texas,0.0,0.0,15520.8057248874,130.0,105.0,CORROSION,WINKLER,31.78255,-103.1951
1998,Texas,0.0,0.0,77604.0286244368,1390.0,800.0,MATERIAL FAILURE OF PIPE OR WELD,WINKLER,31.78255,-103.1951
2000,Texas,0.0,0.0,60061.5384615385,156.0,15.0,CORROSION,WINKLER,31.78255,-103.1951
1986,Texas,0.0,0.0,90432.0344765667,3763.0,0.0,OTHER OUTSIDE FORCE DAMAGE,HOCKLEY,33.60764,-102.3432
1986,Texas,0.0,0.0,1850.70210091578,61.0,55.0,OTHER,HOCKLEY,33.60764,-102.3432
1986,Texas,0.0,0.0,4206.14113844496,530.0,480.0,OTHER OUTSIDE FORCE DAMAGE,HOCKLEY,33.60764,-102.3432
1987,Texas,0.0,0.0,0.0,150.0,130.0,OTHER,HOCKLEY,33.60764,-102.3432
1991,Texas,0.0,0.0,17837.343892781,3115.0,2115.0,CORROSION,HOCKLEY,33.60764,-102.3432
1991,Texas,0.0,0.0,0.0,300.0,200.0,INCORRECT OPERATION BY OPERATOR PERSONNEL,HOCKLEY,33.60764,-102.3432
1992,Texas,0.0,0.0,6961.06983655275,60.0,50.0,CORROSION,HOCKLEY,33.60764,-102.3432
1993,Texas,0.0,0.0,9351.91637630662,330.0,320.0,INCORRECT OPERATION BY OPERATOR PERSONNEL,HOCKLEY,33.60764,-102.3432
1993,Texas,0.0,0.0,2550.52264808362,110.0,100.0,INCORRECT OPERATION BY OPERATOR PERSONNEL,HOCKLEY,33.60764,-102.3432
1986,Michigan,0.0,0.0,482865.002693482,977.0,150.0,MATERIAL FAILURE OF PIPE OR WELD,MUSKEGON,43.23418,-86.24839
1994,Michigan,0.0,0.0,124808.184143222,7.0,7.0,MATERIAL FAILURE OF PIPE OR WELD,MUSKEGON,43.23418,-86.24839
1986,Illinois,0.0,0.0,8201.97521996768,1300.0,1300.0,OTHER,MARION,44.9429,-123.0351
1986,Tennessee,0.0,0.0,168245.645537799,600.0,500.0,OTHER OUTSIDE FORCE DAMAGE,MARION,44.9429,-123.0351
1989,Oregon,0.0,0.0,38299.5421844343,553.0,55.0,OTHER OUTSIDE FORCE DAMAGE,MARION,44.9429,-123.0351
1993,Illinois,0.0,0.0,510104.529616725,5016.0,5016.0,MATERIAL FAILURE OF PIPE OR WELD,MARION,44.9429,-123.0351
1995,Illinois,0.0,0.0,81469.1151919866,200.0,196.0,OTHER,MARION,44.9429,-123.0351
1996,Illinois,0.0,0.0,106012.552232692,50.0,50.0,CORROSION,MARION,44.9429,-123.0351
1999,Illinois,0.0,0.0,76619.1286144184,5.0,4.0,OTHER,MARION,44.9429,-123.0351
2001,Illinois,0.0,5.0,0.0,0.0,0.0,OTHER,MARION,44.9429,-123.0351
2001,Illinois,0.0,0.0,73346.6933867736,200.0,120.0,CORROSION,MARION,44.9429,-123.0351
1986,California,0.0,0.0,1682456.45537799,500.0,120.0,OTHER,SAN JOAQUIN,37.9577,-121.29078
1991,California,0.0,0.0,17837.343892781,1.0,0.0,INCORRECT OPERATION BY OPERATOR PERSONNEL,SAN JOAQUIN,37.9577,-121.29078
1994,California,0.0,0.0,4992.3273657289,550.0,535.0,OTHER OUTSIDE FORCE DAMAGE,SAN JOAQUIN,37.9577,-121.29078
1997,California,0.0,0.0,157144.773916544,4.0,4.0,CORROSION,SAN JOAQUIN,37.9577,-121.29078
1998,California,0.0,0.0,54322.8200371058,960.0,860.0,OTHER,SAN JOAQUIN,37.9577,-121.29078
1986,North Dakota,0.0,0.0,42061.4113844496,802.0,372.0,OTHER OUTSIDE FORCE DAMAGE,MCKENZIE,47.74015,-103.39527
1989,North Dakota,0.0,0.0,28724.6566383257,827.0,757.0,OTHER OUTSIDE FORCE DAMAGE,MCKENZIE,47.74015,-103.39527
1986,Texas,0.0,0.0,63092.1170766745,1583.0,0.0,OTHER OUTSIDE FORCE DAMAGE,WHARTON,29.25417,-96.15417
1987,Texas,0.0,0.0,30853.5300316122,220.0,217.0,CORROSION,WHARTON,29.25417,-96.15417
1988,Texas,0.0,0.0,35865.2602926165,997.0,0.0,OTHER OUTSIDE FORCE DAMAGE,WHARTON,29.25417,-96.15417
1989,Texas,0.0,0.0,3829.95421844343,10.0,0.0,CORROSION,WHARTON,29.25417,-96.15417
1991,Texas,0.0,0.0,37101.6752969845,550.0,0.0,CORROSION,WHARTON,29.25417,-96.15417
1994,Texas,0.0,0.0,83205.4560954817,20.0,0.0,CORROSION,WHARTON,29.25417,-96.15417
1996,Texas,0.0,0.0,47980.3359278984,1352.0,0.0,OTHER OUTSIDE FORCE DAMAGE,WHARTON,29.25417,-96.15417
1997,Texas,0.0,0.0,9428.68643499262,8.0,8.0,CORROSION,WHARTON,29.25417,-96.15417
1999,Texas,0.0,0.0,76619.1286144184,650.0,0.0,OTHER OUTSIDE FORCE DAMAGE,WHARTON,29.25417,-96.15417
1986,Texas,0.0,0.0,0.0,200.0,195.0,OTHER,HARDIN,37.84035,-85.94913
1986,Texas,0.0,0.0,0.0,555.0,551.0,OTHER,HARDIN,37.84035,-85.94913
1986,Texas,0.0,0.0,10515.3528461124,400.0,175.0,CORROSION,HARDIN,37.84035,-85.94913
1986,Texas,0.0,0.0,0.0,40.0,30.0,INCORRECT OPERATION BY OPERATOR PERSONNEL,HARDIN,37.84035,-85.94913
1986,Texas,0.0,0.0,94638.1756150117,850.0,0.0,CORROSION,HARDIN,37.84035,-85.94913
1987,Iowa,0.0,0.0,15426.7650158061,108.0,0.0,CORROSION,HARDIN,37.84035,-85.94913
1988,Texas,0.0,0.0,7970.05784280368,20.0,15.0,CORROSION,HARDIN,37.84035,-85.94913
1988,Iowa,0.0,0.0,13947.6012249064,275.0,266.0,OTHER OUTSIDE FORCE DAMAGE,HARDIN,37.84035,-85.94913
1995,Texas,0.0,0.0,17923.2053422371,460.0,445.0,CORROSION,HARDIN,37.84035,-85.94913
1995,Texas,0.0,0.0,8146.91151919866,115.0,110.0,CORROSION,HARDIN,37.84035,-85.94913
1995,Texas,0.0,0.0,8146.91151919866,55.0,55.0,CORROSION,HARDIN,37.84035,-85.94913
1996,Texas,0.0,0.0,71970.5038918476,80.0,71.0,CORROSION,HARDIN,37.84035,-85.94913
1998,Texas,0.0,0.0,24833.2891598198,0.0,0.0,OTHER,HARDIN,37.84035,-85.94913
1998,Texas,0.0,0.0,3104.16114497747,90.0,0.0,OTHER,HARDIN,37.84035,-85.94913
1998,Texas,0.0,0.0,6208.32228995494,597.0,505.0,CORROSION,HARDIN,37.84035,-85.94913
1999,Texas,0.0,0.0,68957.2157529766,645.0,595.0,OTHER,HARDIN,37.84035,-85.94913
1986,Iowa,0.0,0.0,525767.64230562,1.0,0.0,OTHER,CASS,46.87719,-96.7898
1986,Missouri,0.0,0.0,0.0,1.0,1.0,INCORRECT OPERATION BY OPERATOR PERSONNEL,CASS,46.87719,-96.7898
1987,Missouri,0.0,0.0,154267.650158061,2895.0,1420.0,OTHER OUTSIDE FORCE DAMAGE,CASS,46.87719,-96.7898
1987,Missouri,0.0,0.0,51422.5500526871,285.0,238.0,OTHER,CASS,46.87719,-96.7898
